timestamp,4_RJT2VI_QQ_GLOBAL_Fe
2022-07-04 03:01:00,16.21999931
2022-07-04 05:01:00,21.87999916
2022-07-04 07:01:00,21.77000046
2022-07-04 09:01:00,21.62999916
2022-07-04 11:01:00,22.14999962
2022-07-04 13:01:00,19.14999962
2022-07-04 15:01:00,17.87000084
2022-07-04 17:01:00,22.36000061
2022-07-04 19:01:00,21.02000046
2022-07-04 21:01:00,21.85000038
2022-07-04 23:01:00,22.26000023
2022-07-05 01:01:00,22.54999924
2022-07-05 03:01:00,22.61000061
2022-07-05 05:01:00,23.90999985
2022-07-05 07:01:00,22.40999985
2022-07-05 09:01:00,22.73999977
2022-07-05 11:01:00,21.78000069
2022-07-05 13:01:00,19.86000061
2022-07-05 15:01:00,18.87999916
2022-07-05 17:01:00,21.54999924
2022-07-05 19:01:00,21.60000038
2022-07-05 21:01:00,19.81999969
2022-07-05 23:01:00,22.28000069
2022-07-06 01:01:00,22.63999939
2022-07-06 03:01:00,19.05999947
2022-07-06 05:01:00,22.11000061
2022-07-06 07:01:00,18.37999916
2022-07-06 09:01:00,15.68999958
2022-07-06 11:01:00,18.85000038
2022-07-06 13:01:00,17.38999939
2022-07-06 15:01:00,15.81000042
2022-07-06 17:01:00,16.80999947
2022-07-06 19:01:00,16.59000015
2022-07-06 21:01:00,19.94000053
2022-07-06 23:01:00,19.5
2022-07-07 01:01:00,8.520000458
2022-07-07 03:01:00,19.54999924
2022-07-07 05:01:00,23.48999977
2022-07-07 07:01:00,24.06999969
2022-07-07 09:01:00,23.55999947
2022-07-07 11:01:00,23.20000076
2022-07-07 13:01:00,27.07999992
2022-07-07 15:01:00,16.12000084
